id,state,name
1,1,ASIENTOS
2,1,CALVILLO
3,1,COSIO
4,1,JESUS MARIA
5,1,PABELLON DE ARTEAGA
6,1,RINCON DE ROMOS
7,1,SAN JOSE DE GRACIA
8,1,TEPEZALA
9,1,SAN FRANCISCO DE LOS ROMO
10,1,EL LLANO
11,1,AGUASCALIENTES
12,1,AGUASCALIENTES
13,2,MEXICALI
14,2,MEXICALI
15,2,ENSENADA
16,2,SAN QUINTIN
17,2,SAN FELIPE
18,2,TIJUANA
19,2,TIJUANA
20,2,TIJUANA
21,2,ENSENADA
22,2,MEXICALI
23,2,SAN FELIPE
24,2,TIJUANA
25,2,TECATE
26,2,TIJUANA
27,2,PLAYAS DE ROSARITO
28,3,COMONDU
29,3,MULEGE
30,3,LA PAZ
31,3,LORETO
32,3,LOS CABOS
33,4,CAMPECHE
34,4,CALKINI
35,4,HECELCHAKAN
36,4,HOPELCHEN
37,4,TENABO
38,4,CALAKMUL
39,4,DZITBALCHE
40,4,CARMEN
41,4,CHAMPOTON
42,4,PALIZADA
43,4,ESCARCEGA
44,4,CANDELARIA
45,4,SEYBAPLAYA
46,5,ACUÑA
47,5,JIMENEZ
48,5,MORELOS
49,5,NAVA
50,5,PIEDRAS NEGRAS
51,5,ZARAGOZA
52,5,CUATROCIENEGAS
53,5,FRANCISCO I. MADERO
54,5,FRONTERA
55,5,LAMADRID
56,5,MUZQUIZ
57,5,NADADORES
58,5,OCAMPO
59,5,SACRAMENTO
60,5,SAN BUENAVENTURA
61,5,SAN PEDRO
62,5,SIERRA MOJADA
63,5,ABASOLO
64,5,ALLENDE
65,5,CANDELA
66,5,CASTAÑOS
67,5,ESCOBEDO
68,5,GUERRERO
69,5,HIDALGO
70,5,JUAREZ
71,5,MONCLOVA
72,5,PROGRESO
73,5,SABINAS
74,5,SAN JUAN DE SABINAS
75,5,VILLA UNION
76,5,SALTILLO
77,5,TORREON
78,5,TORREON
79,5,SALTILLO
80,5,ARTEAGA
81,5,GENERAL CEPEDA
82,5,MATAMOROS
83,5,PARRAS
84,5,RAMOS ARIZPE
85,5,TORREON
86,5,VIESCA
87,6,COLIMA
88,6,COMALA
89,6,COQUIMATLAN
90,6,CUAUHTEMOC
91,6,VILLA DE ALVAREZ
92,6,ARMERIA
93,6,IXTLAHUACAN
94,6,MANZANILLO
95,6,MINATITLAN
96,6,TECOMAN
97,7,CATAZAJA
98,7,LA LIBERTAD
99,7,PALENQUE
100,7,SABANILLA
101,7,SALTO DE AGUA
102,7,TILA
103,7,TUMBALA
104,7,YAJALON
105,7,BOCHIL
106,7,EL BOSQUE
107,7,CHALCHIHUITAN
108,7,CHENALHO
109,7,HUITIUPAN
110,7,IXTAPA
111,7,JITOTOL
112,7,LARRAINZAR
113,7,MITONTIC
114,7,PANTELHO
115,7,PUEBLO NUEVO SOLISTAHUACAN
116,7,SIMOJOVEL
117,7,SOYALO
118,7,ALDAMA
119,7,SAN ANDRES DURAZNAL
120,7,SANTIAGO EL PINAR
121,7,CHILON
122,7,OCOSINGO
123,7,SITALA
124,7,BENEMERITO DE LAS AMERICAS
125,7,MARQUES DE COMILLAS
126,7,AMATAN
127,7,COAPILLA
128,7,COPAINALA
129,7,CHAPULTENANGO
130,7,CHICOASEN
131,7,FRANCISCO LEON
132,7,IXHUATAN
133,7,IXTACOMITAN
134,7,IXTAPANGAJOYA
135,7,JUAREZ
136,7,OCOTEPEC
137,7,OSTUACAN
138,7,OSUMACINTA
139,7,PANTEPEC
140,7,PICHUCALCO
141,7,RAYON
142,7,REFORMA
143,7,SAN FERNANDO
144,7,SOLOSUCHIAPA
145,7,SUNUAPA
146,7,TAPALAPA
147,7,TAPILULA
148,7,TECPATAN
149,7,RINCON CHAMULA SAN PEDRO
150,7,MEZCALAPA
151,7,CHAMULA
152,7,SAN CRISTOBAL DE LAS CASAS
153,7,SAN JUAN CANCUC
154,7,TENEJAPA
155,7,ZINACANTAN
156,7,ACALA
157,7,CHIAPA DE CORZO
158,7,CHIAPILLA
159,7,NICOLAS RUIZ
160,7,SAN LUCAS
161,7,SUCHIAPA
162,7,TOTOLAPA
163,7,TUXTLA GUTIERREZ
164,7,VENUSTIANO CARRANZA
165,7,EMILIANO ZAPATA
166,7,ACACOYAGUA
167,7,ACAPETAHUA
168,7,ARRIAGA
169,7,CINTALAPA
170,7,ESCUINTLA
171,7,JIQUIPILAS
172,7,MAPASTEPEC
173,7,PIJIJIAPAN
174,7,TONALA
175,7,BELLA VISTA
176,7,COMITAN DE DOMINGUEZ
177,7,CHICOMUSELO
178,7,FRONTERA COMALAPA
179,7,SOCOLTENANGO
180,7,LA TRINITARIA
181,7,TZIMOL
182,7,TUXTLA GUTIERREZ
183,7,ANGEL ALBINO CORZO
184,7,BERRIOZABAL
185,7,LA CONCORDIA
186,7,OCOZOCOAUTLA DE ESPINOSA
187,7,VILLA CORZO
188,7,VILLAFLORES
189,7,MONTECRISTO DE GUERRERO
190,7,CAPITAN LUIS ANGEL VIDAL
191,7,EL PARRAL
192,7,ALTAMIRANO
193,7,AMATENANGO DEL VALLE
194,7,CHANAL
195,7,HUIXTAN
196,7,LA INDEPENDENCIA
197,7,LAS MARGARITAS
198,7,OXCHUC
199,7,LAS ROSAS
200,7,SAN CRISTOBAL DE LAS CASAS
201,7,TEOPISCA
202,7,MARAVILLA TENEJAPA
203,7,CACAHOATAN
204,7,FRONTERA HIDALGO
205,7,METAPA
206,7,SUCHIATE
207,7,TAPACHULA
208,7,TUXTLA CHICO
209,7,UNION JUAREZ
210,7,AMATENANGO DE LA FRONTERA
211,7,BEJUCAL DE OCAMPO
212,7,LA GRANDEZA
213,7,HUEHUETAN
214,7,HUIXTLA
215,7,MAZAPA DE MADERO
216,7,MAZATAN
217,7,MOTOZINTLA
218,7,EL PORVENIR
219,7,SILTEPEC
220,7,TAPACHULA
221,7,TUZANTAN
222,7,VILLACOMALTITLAN
223,7,HONDURAS DE LA SIERRA
224,8,JUAREZ
225,8,AHUMADA
226,8,GUADALUPE
227,8,JUAREZ
228,8,PRAXEDIS G. GUERRERO
229,8,ASCENSION
230,8,JANOS
231,8,JUAREZ
232,8,JUAREZ
233,8,ALDAMA
234,8,AQUILES SERDAN
235,8,CAMARGO
236,8,COYAME DEL SOTOL
237,8,LA CRUZ
238,8,DELICIAS
239,8,JIMENEZ
240,8,JULIMES
241,8,MANUEL BENAVIDES
242,8,MEOQUI
243,8,OJINAGA
244,8,ROSALES
245,8,SAN FRANCISCO DE CONCHOS
246,8,SAUCILLO
247,8,CHIHUAHUA
248,8,BACHINIVA
249,8,BUENAVENTURA
250,8,CASAS GRANDES
251,8,CUAUHTEMOC
252,8,CUSIHUIRIACHI
253,8,GALEANA
254,8,SANTA ISABEL
255,8,GOMEZ FARIAS
256,8,GRAN MORELOS
257,8,GUERRERO
258,8,IGNACIO ZARAGOZA
259,8,MADERA
260,8,MATACHI
261,8,MORIS
262,8,NAMIQUIPA
263,8,NUEVO CASAS GRANDES
264,8,OCAMPO
265,8,RIVA PALACIO
266,8,TEMOSACHIC
267,8,CHIHUAHUA
268,8,ALLENDE
269,8,BALLEZA
270,8,BATOPILAS DE MANUEL GOMEZ MORIN
271,8,BOCOYNA
272,8,CARICHI
273,8,CORONADO
274,8,CHINIPAS
275,8,DR. BELISARIO DOMINGUEZ
276,8,GUACHOCHI
277,8,GUADALUPE Y CALVO
278,8,GUAZAPARES
279,8,HIDALGO DEL PARRAL
280,8,HUEJOTITAN
281,8,LOPEZ
282,8,MAGUARICHI
283,8,MATAMOROS
284,8,MORELOS
285,8,NONOAVA
286,8,ROSARIO
287,8,SAN FRANCISCO DE BORJA
288,8,SAN FRANCISCO DEL ORO
289,8,SANTA BARBARA
290,8,SATEVO
291,8,EL TULE
292,8,URIQUE
293,8,URUACHI
294,8,VALLE DE ZARAGOZA
295,9,GUSTAVO A. MADERO
296,9,GUSTAVO A. MADERO
297,9,CUAUHTEMOC
298,9,AZCAPOTZALCO
299,9,IZTAPALAPA
300,9,TLALPAN
301,9,XOCHIMILCO
302,9,LA MAGDALENA CONTRERAS
303,9,ALVARO OBREGON
304,9,GUSTAVO A. MADERO
305,9,COYOACAN
306,9,TLAHUAC
307,9,MIGUEL HIDALGO
308,9,VENUSTIANO CARRANZA
309,9,CUAUHTEMOC
310,9,IZTACALCO
311,9,TLALPAN
312,9,BENITO JUAREZ
313,9,ALVARO OBREGON
314,9,CUAJIMALPA DE MORELOS
315,9,ALVARO OBREGON
316,9,IZTAPALAPA
317,9,COYOACAN
318,9,IZTAPALAPA
319,9,IZTAPALAPA
320,9,MILPA ALTA
321,9,XOCHIMILCO
322,9,IZTAPALAPA
323,10,CANELAS
324,10,DURANGO
325,10,GUANACEVI
326,10,MEZQUITAL
327,10,OTAEZ
328,10,PUEBLO NUEVO
329,10,SAN DIMAS
330,10,SANTIAGO PAPASQUIARO
331,10,TAMAZULA
332,10,TEPEHUANES
333,10,TOPIA
334,10,GOMEZ PALACIO
335,10,HIDALGO
336,10,INDE
337,10,MAPIMI
338,10,OCAMPO
339,10,EL ORO
340,10,SAN BERNARDO
341,10,SAN LUIS DEL CORDERO
342,10,SAN PEDRO DEL GALLO
343,10,TLAHUALILO
344,10,CANATLAN
345,10,CONETO DE COMONFORT
346,10,CUENCAME
347,10,SIMON BOLIVAR
348,10,GUADALUPE VICTORIA
349,10,LERDO
350,10,NAZAS
351,10,NOMBRE DE DIOS
352,10,NUEVO IDEAL
353,10,PANUCO DE CORONADO
354,10,PEÑON BLANCO
355,10,POANAS
356,10,RODEO
357,10,SAN JUAN DE GUADALUPE
358,10,SAN JUAN DEL RIO
359,10,SANTA CLARA
360,10,SUCHIL
361,10,VICENTE GUERRERO
362,10,DURANGO
363,11,ATARJEA
364,11,DOCTOR MORA
365,11,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL
366,11,SAN LUIS DE LA PAZ
367,11,SANTA CATARINA
368,11,TIERRA BLANCA
369,11,VICTORIA
370,11,XICHU
371,11,SAN MIGUEL DE ALLENDE
372,11,CELAYA
373,11,COMONFORT
374,11,SAN JOSE ITURBIDE
375,11,LEON
376,11,GUANAJUATO
377,11,OCAMPO
378,11,SAN DIEGO DE LA UNION
379,11,SAN FELIPE
380,11,LEON
381,11,LEON
382,11,MANUEL DOBLADO
383,11,CUERAMARO
384,11,PURISIMA DEL RINCON
385,11,ROMITA
386,11,SAN FRANCISCO DEL RINCON
387,11,SALAMANCA
388,11,SANTA CRUZ DE JUVENTINO ROSAS
389,11,VILLAGRAN
